route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
66-203,Weekend-1,1275-06601-38700-2-22370308,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
74-221,Weekday-1,1265-07401-21000-2-0b2ba009,Onehunga To Glen Innes Via Panmure,,0,,1265-07401-ca563ff6,0,0
74-221,Weekend-1,1265-07401-21900-2-742492e1,Onehunga To Glen Innes Via Panmure,,0,,1265-07401-ca563ff6,0,0
74-221,Weekday-1,1265-07401-22320-2-2457e7a5,Onehunga To Glen Innes Via Panmure,,0,,1265-07401-ca563ff6,0,0
74-221,Weekend-1,1265-07401-23100-2-742492e1,Onehunga To Glen Innes Via Panmure,,0,,1265-07401-ca563ff6,0,0
66-203,Weekday-1,1275-06601-38700-2-753eacfc,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
66-203,Weekend-1,1275-06601-39600-2-22370308,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
74-221,Weekday-1,1265-07401-23220-2-2457e7a5,Onehunga To Glen Innes Via Panmure,,0,,1265-07401-ca563ff6,0,0
74-221,Weekday-1,1265-07401-24120-2-2457e7a5,Onehunga To Glen Innes Via Panmure,,0,,1265-07401-ca563ff6,0,0
74-221,Weekend-1,1265-07401-24300-2-256f4c92,Onehunga To Glen Innes Via Panmure,,0,,1265-07401-ca563ff6,0,0
74-221,Weekday-1,1265-07401-25020-2-2457e7a5,Onehunga To Glen Innes Via Panmure,,0,,1265-07401-ca563ff6,0,0
66-203,Weekday-1,1275-06601-39600-2-753eacfc,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
66-203,Weekend-1,1275-06601-40500-2-22370308,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
74-221,Weekend-1,1265-07401-25200-2-256f4c92,Onehunga To Glen Innes Via Panmure,,0,,1265-07401-ca563ff6,0,0
74-221,Weekday-1,1265-07401-25920-2-1aebd175,Onehunga To Glen Innes Via Panmure,,0,,1265-07401-ca563ff6,0,0
